[ 4-25 22:58: 5]:Module:E:\Game\�ʺ絺Online\LaTaleClient.exe+2B8543,eax=1DB20E50,ecx=1D290038,edx=1E25EFF0,edi=19E0B558,esi=19E0B580
[ 4-25 22:58: 5]:Module: C:\Windows\System32\KERNEL32.DLL Function:BaseThreadInitThunk
[ 4-25 22:58: 5]:Module: C:\Windows\SYSTEM32\ntdll.dll Function:RtlGetAppContainerNamedObjectPath
[ 4-25 22:58: 5]:Module: C:\Windows\SYSTEM32\ntdll.dll Function:RtlCaptureContext
[ 4-25 22:58:27]:Module:E:\Game\�ʺ絺Online\LaTaleClient.exe+1,eax=1,ecx=16BBC00,edx=16BBD44,edi=1DB590E8,esi=1DB59110
[ 4-25 22:58:27]:Module: C:\Windows\System32\KERNEL32.DLL Function:BaseThreadInitThunk
[ 4-27 22:53:33]:RECV : 0BEBC32E
[ 4-27 22:53:33]:RECV : 0BEBC58E
[ 4-27 22:53:33]:RECV : 0BEBC58E
[ 4-27 22:53:33]:RECV : 0BEBC90F
[ 4-27 22:53:40]:RECV : 0BEBC58E
[ 4-27 22:53:43]:RECV : 0BEBC58E
[ 4-27 22:53:44]:RECV : 0BEBC32E
[ 4-27 22:53:45]:RECV : 0BEBC32E
[ 4-27 22:53:45]:RECV : 0BEBC90F
[ 4-27 22:53:46]:RECV : 0BEBC32E
[ 4-27 22:53:46]:RECV : 0BEBC32E
[ 4-27 22:53:46]:RECV : 0BEBC90F
[ 4-27 22:53:46]:RECV : 0BEBC58E
[ 4-27 22:53:46]:RECV : 0BEBC58E
[ 4-27 22:53:46]:RECV : 0BEBC58E
[ 4-27 22:53:47]:RECV : 0BEBC32E
[ 4-27 22:53:47]:RECV : 0BEBC32E
[ 4-27 22:53:47]:RECV : 0BEBC90F
[ 4-27 22:53:48]:RECV : 0BEBC58E
[ 4-27 22:53:54]:RECV : 0BEBC32E
[ 4-27 22:53:54]:RECV : 0BEBC90F
[ 4-27 22:54:28]:RECV : 0BEBC58E
[ 4-27 22:54:35]:RECV : 0BEBC58E
[ 4-27 22:54:41]:RECV : 0BEBC58E
[ 4-27 22:54:51]:RECV : 0BEBC32E
[ 4-27 22:55:35]:RECV : 0BEBC58E
[ 4-27 22:55:37]:RECV : 0BEBC32E
[ 4-27 22:55:37]:RECV : 0BEBC90F
[ 4-27 22:55:43]:RECV : 0BEBC58E
[ 4-27 22:55:51]:RECV : 0BEBC58E
[ 4-27 22:55:58]:RECV : 0BEBC58E
[ 4-27 22:56: 1]:RECV : 0BEBC58E
[ 4-27 22:56:29]:RECV : 0BEBC58E
[ 4-27 22:56:31]:RECV : 0BEBC58E
[ 4-27 22:56:37]:RECV : 0BEBC58E
